casePath,time,nCells,totalVolume,hEff,TmaxRoom,TavgRoom,T95Room,roomHotspotThreshold,roomHotspotVolume,roomHotspotVolumeFraction,TmaxRackInlet,TavgRackInlet,T95RackInlet,rackInletRiskThreshold,rackInletHotspotVolume,rackInletHotspotFraction,nRackInletCells,returnOutletTareaAvg,returnOutletTmassFlowAvg,returnOutletOutflowFlux,pressureField,supplyPressureAvg,returnPressureAvg,deltaP_supply_minus_return,caseID,caseName,caseDir,timeSample,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,TavgRackRise,T95RackRise,TmaxRackRise,TavgRoomRise,T95RoomRise,TmaxRoomRise,returnTempRise,flowBalanceErrorPercent,pressurePowerProxy,airChangesPerHour,estimatedHeatRemovedW,heatBalanceErrorPercent
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,4000,105000,105,0.1,315.4624,303.84827722,309.0881,315,0.022,0.000209523809524,313.0918,298.379977273,308.0129,305,0.474,0.224431818182,2112,307.909788667,307.725392146,1.35670698,p_rgh,0.542582085417,0,0.542582085417,C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,4000.0,1.0,291.0,18000.0,1.4400000000000002,7.379977273000009,17.012900000000002,22.091799999999978,12.84827722,18.088099999999997,24.462400000000002,16.72539214599999,5.78423750000001,0.7361249025082002,46.51566788571429,27365.89625886473,52.03275699369294
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,5000,105000,105,0.1,314.8995,304.098941753,310.5108,315,0.0,0.0,311.4369,296.102138021,304.0027,305,0.069,0.0326704545455,2112,303.837659667,303.645442092,1.369925398,p_rgh,0.377204848611,0,0.377204848611,C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,5000.0,1.0,291.0,18000.0,1.4400000000000002,5.102138020999973,13.002700000000004,20.43689999999998,13.09894175300002,19.510800000000017,23.89949999999999,12.645442091999996,4.866291805555573,0.5167425023609539,46.96887078857142,20891.91462266747,16.06619234815262
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,6000,105000,105,0.1,314.356,303.038560094,308.5823,315,0.0,0.0,310.4928,298.697475805,308.2221,305,0.492,0.232954545455,2112,306.227693667,306.164195068,1.366982513,p_rgh,0.512476501389,0,0.512476501389,C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,6000.0,1.0,291.0,18000.0,1.4400000000000002,7.6974758050000105,17.22210000000001,19.49279999999999,12.03856009399999,17.582299999999975,23.355999999999995,15.164195068000026,5.070658819444459,0.7005464157221832,46.86797187428571,24999.40251490232,38.8855695272351
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,7000,105000,105,0.1,317.8632,304.212173448,310.2138,315,0.245,0.00233333333333,311.9219,296.130971449,304.4994,305,0.082,0.0388257575758,2112,304.914176333,304.596109855,1.349900891,p_rgh,0.4169963,0,0.4169963,C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,7000.0,1.0,291.0,18000.0,1.4400000000000002,5.130971449000015,13.49939999999998,20.921899999999994,13.212173447999987,19.213799999999992,26.863200000000006,13.596109855000009,6.256882569444448,0.5629036769137034,46.282316262857144,22134.201373722462,22.967785409569235
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,8000,105000,105,0.1,311.769,302.532664425,308.6836,315,0.0,0.0,310.2676,297.405712405,307.7247,305,0.309,0.146306818182,2112,307.732454,307.64291064,1.368109669,p_rgh,0.569797902083,0,0.569797902083,C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,8000.0,1.0,291.0,18000.0,1.4400000000000002,6.405712404999974,16.724699999999984,19.267600000000016,11.532664425000007,17.683600000000013,20.769000000000005,16.642910640000025,4.992384097222228,0.7795460192156676,46.90661722285715,27459.80832206574,52.554490678143
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,4000,105000,105,0.1,323.8857,312.155279964,319.2532,315,42.643,0.406123809523,319.3102,308.27425232,317.7678,305,1.349,0.638731060606,2112,315.290527667,314.698233253,1.0001636516,p_rgh,0.48143279375,0,0.48143279375,C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,4000.0,0.75,295.0,18000.0,1.08,13.274252320000016,22.767800000000022,24.31020000000001,17.155279963999988,24.253199999999993,28.885699999999986,19.698233253000012,7.392254481481479,0.48151158099698965,34.29132519771429,23759.957021869184,31.99976123260658
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,5000,105000,105,0.1,322.3711,311.681927707,318.5871,315,32.291,0.307533333333,319.9351,307.705327131,318.5403,305,1.219,0.577178030303,2112,313.869574,312.035965829,1.01158371134,p_rgh,0.498284436806,0,0.498284436806,C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,5000.0,0.75,295.0,18000.0,1.08,12.70532713099999,23.540300000000002,24.935099999999977,16.681927707,23.58710000000002,27.371100000000013,17.03596582900002,6.334841542592606,0.5040564198871751,34.68287010308571,20783.366480710876,15.463147115060423
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,6000,105000,105,0.1,325.1604,311.842452652,319.3741,315,32.234,0.30699047619,322.0093,307.40432893,319.181,305,1.206,0.571022727273,2112,314.525087,314.044749887,1.0223096652,p_rgh,0.512558656944,0,0.512558656944,C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,6000.0,0.75,295.0,18000.0,1.08,12.40432893000002,24.180999999999983,27.009299999999996,16.84245265200002,24.3741,30.16039999999998,19.044749887000023,5.341697666666663,0.5239936689757824,35.050617092571436,23480.37604824086,30.44653360133812
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,7000,105000,105,0.1,324.2949,311.494553359,318.6114,315,35.554,0.338609523809,319.9555,307.048424337,317.7845,305,1.229,0.581912878788,2112,316.373452333,315.532342647,1.0008901075,p_rgh,0.586588844444,0,0.586588844444,C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,7000.0,0.75,295.0,18000.0,1.08,12.048424336999972,22.78449999999998,24.955499999999972,16.494553359000008,23.611400000000003,29.294899999999984,20.532342647000007,7.324990046296296,0.5871109715738559,34.31623225714286,24784.046078854306,37.68914488252392
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,8000,105000,105,0.1,323.3501,311.578176929,317.9484,315,30.524,0.290704761905,317.9343,305.722867566,316.3173,305,1.115,0.527935606061,2112,315.952444,314.89564246,1.007592624,p_rgh,0.621656052778,0,0.621656052778,C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,8000.0,0.75,295.0,18000.0,1.08,10.72286756599999,21.31729999999999,22.934300000000007,16.578176928999994,22.948399999999992,28.350099999999998,19.895642459999976,6.704386666666679,0.6263760534440674,34.54603282285714,24176.32332647925,34.31290736932917
