casePath,time,nCells,totalVolume,hEff,TmaxRoom,TavgRoom,T95Room,roomHotspotThreshold,roomHotspotVolume,roomHotspotVolumeFraction,TmaxRackInlet,TavgRackInlet,T95RackInlet,rackInletRiskThreshold,rackInletHotspotVolume,rackInletHotspotFraction,nRackInletCells,returnOutletTareaAvg,returnOutletTmassFlowAvg,returnOutletOutflowFlux,pressureField,supplyPressureAvg,returnPressureAvg,deltaP_supply_minus_return,caseID,caseName,caseDir,rackID,timeSample,rackPowerW
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,6000,105000,105,0.1,317.5246,307.531919131,314.0248,315,1.69,0.0160952380952,312.8591,301.741804545,311.8617,305,0.174,0.494318181818,352,309.172097333,308.504307572,1.0185871682,p_rgh,0.535446134722,0,0.535446134722,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,L3,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,7000,105000,105,0.1,315.6451,307.000870402,312.7466,315,0.122,0.0011619047619,311.0115,301.589327557,310.0498,305,0.147,0.417613636364,352,311.907570667,311.806138583,1.0179445109,p_rgh,0.655780157639,0,0.655780157639,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,L3,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,8000,105000,105,0.1,318.4192,307.191293715,313.3296,315,1.495,0.0142380952381,313.4815,305.141709659,312.8101,305,0.226,0.642045454545,352,309.287279667,307.606051745,1.0253627817,p_rgh,0.546873263194,0,0.546873263194,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,L3,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,4000,105000,105,0.1,319.3432,306.915765089,313.5905,315,2.377,0.0226380952381,311.4443,302.336499148,311.1527,305,0.186,0.528409090909,352,312.700074667,312.461215617,1.0185837502,p_rgh,0.586404654861,0,0.586404654861,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R1,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,5000,105000,105,0.1,319.3866,306.975634721,313.873,315,2.779,0.0264666666666,310.0433,300.789668466,309.5025,305,0.156,0.443181818182,352,310.150484,309.773417952,1.0230624685,p_rgh,0.50628695625,0,0.50628695625,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R1,5000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,6000,105000,105,0.1,317.5246,307.531919131,314.0248,315,1.69,0.0160952380952,313.4376,302.898477273,313.054,305,0.168,0.477272727273,352,309.172097333,308.504307572,1.0185871682,p_rgh,0.535446134722,0,0.535446134722,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R1,6000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,7000,105000,105,0.1,315.6451,307.000870402,312.7466,315,0.122,0.0011619047619,311.7488,301.823667898,311.1163,305,0.177,0.502840909091,352,311.907570667,311.806138583,1.0179445109,p_rgh,0.655780157639,0,0.655780157639,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R1,7000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,8000,105000,105,0.1,318.4192,307.191293715,313.3296,315,1.495,0.0142380952381,310.2999,301.290369886,310.0164,305,0.165,0.46875,352,309.287279667,307.606051745,1.0253627817,p_rgh,0.546873263194,0,0.546873263194,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R1,8000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,4000,105000,105,0.1,319.3432,306.915765089,313.5905,315,2.377,0.0226380952381,317.3276,304.262248011,316.7645,305,0.169,0.480113636364,352,312.700074667,312.461215617,1.0185837502,p_rgh,0.586404654861,0,0.586404654861,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R2,4000.0,3000.0
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,5000,105000,105,0.1,319.3866,306.975634721,313.873,315,2.779,0.0264666666666,312.4118,301.704783523,312.0341,305,0.158,0.448863636364,352,310.150484,309.773417952,1.0230624685,p_rgh,0.50628695625,0,0.50628695625,C00,baseline,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C00_baseline,R2,5000.0,3000.0
