caseID,caseName,caseDir,rackID,rackPowerW,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TmaxRackInlet_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_min,rackInletHotspotFraction_max,rackInletHotspotFraction_final8000,rackInletHotspotVolume_mean,rackInletHotspotVolume_std,rackInletHotspotVolume_min,rackInletHotspotVolume_max,rackInletHotspotVolume_final8000,nRackInletCells_mean,nRackInletCells_std,nRackInletCells_min,nRackInletCells_max,nRackInletCells_final8000,nLateSamples,lateTimeMin,lateTimeMax
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R2,3000.0,310.969814659,1.694855433834274,308.278334659,312.30718267,310.355317614,318.69412,2.2563542523282876,316.6356,322.2743,318.8151,319.20072,2.3487491313463065,317.086,322.9311,319.5303,0.7829545454548,0.04743552605610834,0.730113636364,0.84375,0.758522727273,0.2756,0.016697305171793426,0.257,0.297,0.267,352.0,0.0,352,352,352,5,4000.0,8000.0
C01,lowSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C01_lowSupplyVelocity,R3,3000.0,312.0354843182,3.1927499052383475,306.676295455,314.348035795,314.348035795,319.50416,2.164083409436884,316.2167,322.2467,322.2467,320.4741,2.121768646671918,317.43,323.113,323.113,0.809659090909,0.08520359519595472,0.673295454545,0.900568181818,0.829545454545,0.28500000000000003,0.029991665508937646,0.237,0.317,0.292,352.0,0.0,352,352,352,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,L1,3000.0,296.5811615908,3.2890600500607126,293.461374432,301.222960227,295.904119318,303.7653,4.352291910591478,298.7901,309.1902,301.1938,306.08216,3.5338286253014592,302.4348,310.4928,302.6207,0.12329545454549999,0.1700349950308305,0.0,0.372159090909,0.0,0.04340000000000001,0.059852318250841384,0.0,0.131,0.0,352.0,0.0,352,352,352,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,L2,3000.0,297.9320073296,1.5149413430740135,295.828813636,299.804715057,298.49536733,304.74582,1.9739182434944038,302.724,307.3161,306.1318,306.93006,3.0651322227597286,303.4996,311.4369,306.6704,0.07045454545443999,0.08643556364829859,0.0,0.181818181818,0.181818181818,0.0248,0.030425318404250102,0.0,0.064,0.064,352.0,0.0,352,352,352,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,L3,3000.0,297.7713146024,1.012431480277904,296.342317614,299.132114205,297.984610227,306.45004,1.4974027157047667,304.6638,308.0785,305.1068,308.19586,2.3641901854546306,305.4706,311.9219,305.4706,0.13977272727246,0.10008712630109876,0.0454545454545,0.301136363636,0.0681818181818,0.049199999999999994,0.03523066845803525,0.016,0.106,0.024,352.0,0.0,352,352,352,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,R1,3000.0,296.5530043748,0.887923251791525,295.393729545,297.512200284,296.128960795,305.55656,1.7914206744927188,302.9273,307.7911,307.7911,306.6753,1.3606058687217302,304.805,308.6394,308.6394,0.10909090909088,0.09449172834279465,0.0,0.25,0.133522727273,0.038400000000000004,0.03326108837666019,0.0,0.088,0.047,352.0,0.0,352,352,352,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,R2,3000.0,297.791530625,1.8799279730801322,296.126761364,300.701609659,297.804727841,307.04605999999995,3.696604052775998,303.2336,311.5011,309.2351,308.10062,3.7607398117923547,304.0666,313.0918,310.0845,0.1829545454544,0.16838947944318086,0.0,0.338068181818,0.278409090909,0.06439999999999999,0.05927309676404634,0.0,0.119,0.098,352.0,0.0,352,352,352,5,4000.0,8000.0
C02,highSupplyVelocity,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,R3,3000.0,297.4305114206,2.3887168228160784,294.391255114,299.621761364,298.11648892,305.77724,4.016917459072306,300.4947,309.1312,308.5336,308.05084,2.559866981505089,304.7944,310.2676,310.2676,0.18465909090896399,0.17524057401453813,0.0,0.366477272727,0.215909090909,0.065,0.06168468205316454,0.0,0.129,0.076,352.0,0.0,352,352,352,5,4000.0,8000.0
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,L1,3000.0,306.6614982954,2.373414267649988,302.880954545,308.507762784,307.577282955,315.95380000000006,1.981947267209693,312.4666,317.3403,316.3313,317.04637999999994,1.2559425273474807,314.8387,317.9839,317.5411,0.5676136363636001,0.12041902885481376,0.377840909091,0.659090909091,0.622159090909,0.1998,0.04238749815688584,0.133,0.232,0.219,352.0,0.0,352,352,352,5,4000.0,8000.0
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,L2,3000.0,308.69845840880004,2.0457411088469457,306.65895142,311.22921392,307.276241193,317.78112,1.4661497849810603,316.3747,319.4211,316.9965,318.51874,1.3808370334691786,316.7228,319.9555,317.9343,0.6357954545455999,0.06120824179519063,0.588068181818,0.727272727273,0.588068181818,0.2238,0.021545301111843395,0.207,0.256,0.207,352.0,0.0,352,352,352,5,4000.0,8000.0
C03,warmerSupplyAir,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,L3,3000.0,304.2922466478,2.776804031235881,300.889082955,307.412211932,300.889082955,313.62636000000003,4.2116631290975794,308.6918,318.8831,310.5976,314.90369999999996,4.1861949572374115,310.0149,319.9351,312.0341,0.44715909090899997,0.12497739981639995,0.301136363636,0.556818181818,0.301136363636,0.1574,0.04399204473538369,0.106,0.196,0.106,352.0,0.0,352,352,352,5,4000.0,8000.0
