casePath,time,nCells,totalVolume,hEff,TmaxRoom,TavgRoom,T95Room,roomHotspotThreshold,roomHotspotVolume,roomHotspotVolumeFraction,TmaxRackInlet,TavgRackInlet,T95RackInlet,rackInletRiskThreshold,rackInletHotspotVolume,rackInletHotspotFraction,nRackInletCells,returnOutletTareaAvg,returnOutletTmassFlowAvg,returnOutletOutflowFlux,pressureField,supplyPressureAvg,returnPressureAvg,deltaP_supply_minus_return,caseID,caseName,folder,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,description,caseDir,TavgRackInletRise,T95RackInletRise,TmaxRackInletRise,TavgRoomRise,T95RoomRise,TmaxRoomRise,returnTempRise,flowBalanceErrorPercent,pressurePowerProxy,airChangesPerHour,estimatedHeatRemovedW,heatBalanceErrorPercent
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,4000,105000,105,0.1,315.4624,303.84827722,309.0881,315,0.022,0.000209523809524,313.0918,298.379977273,308.0129,305,0.474,0.224431818182,2112,307.909788667,307.725392146,1.35670698,p_rgh,0.542582085417,0,0.542582085417,C02,highSupplyVelocity,C02_highSupplyVelocity,1.00,291,18000,1.44,Higher supply velocity with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,7.379977,17.0129,22.0918,12.8483,18.0881,24.4624,16.7254,5.784237,0.736125,46.5157,27365.896,52.0328
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,5000,105000,105,0.1,314.8995,304.098941753,310.5108,315,0,0,311.4369,296.102138021,304.0027,305,0.069,0.0326704545455,2112,303.837659667,303.645442092,1.369925398,p_rgh,0.377204848611,0,0.377204848611,C02,highSupplyVelocity,C02_highSupplyVelocity,1.00,291,18000,1.44,Higher supply velocity with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,5.102138,13.0027,20.4369,13.0989,19.5108,23.8995,12.6454,4.866292,0.516743,46.9689,20891.915,16.0662
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,6000,105000,105,0.1,314.356,303.038560094,308.5823,315,0,0,310.4928,298.697475805,308.2221,305,0.492,0.232954545455,2112,306.227693667,306.164195068,1.366982513,p_rgh,0.512476501389,0,0.512476501389,C02,highSupplyVelocity,C02_highSupplyVelocity,1.00,291,18000,1.44,Higher supply velocity with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,7.697476,17.2221,19.4928,12.0386,17.5823,23.3560,15.1642,5.070659,0.700546,46.8680,24999.403,38.8856
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,7000,105000,105,0.1,317.8632,304.212173448,310.2138,315,0.245,0.00233333333333,311.9219,296.130971449,304.4994,305,0.082,0.0388257575758,2112,304.914176333,304.596109855,1.349900891,p_rgh,0.4169963,0,0.4169963,C02,highSupplyVelocity,C02_highSupplyVelocity,1.00,291,18000,1.44,Higher supply velocity with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,5.130971,13.4994,20.9219,13.2122,19.2138,26.8632,13.5961,6.256883,0.562904,46.2823,22134.201,22.9678
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02,8000,105000,105,0.1,311.769,302.532664425,308.6836,315,0,0,310.2676,297.405712405,307.7247,305,0.309,0.146306818182,2112,307.732454,307.64291064,1.368109669,p_rgh,0.569797902083,0,0.569797902083,C02,highSupplyVelocity,C02_highSupplyVelocity,1.00,291,18000,1.44,Higher supply velocity with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C02_highSupplyVelocity,6.405712,16.7247,19.2676,11.5327,17.6836,20.7690,16.6429,4.992384,0.779546,46.9066,27459.808,52.5545
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,4000,105000,105,0.1,323.8857,312.155279964,319.2532,315,42.643,0.406123809523,319.3102,308.27425232,317.7678,305,1.349,0.638731060606,2112,315.290527667,314.698233253,1.0001636516,p_rgh,0.48143279375,0,0.48143279375,C03,warmerSupplyAir,C03_warmerSupplyAir,0.75,295,18000,1.08,Warmer supply air temperature with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,13.2743,22.7678,24.3102,17.1553,24.2532,28.8857,19.6982,7.392254,0.481512,34.2913,23759.957,31.9998
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,5000,105000,105,0.1,322.3711,311.681927707,318.5871,315,32.291,0.307533333333,319.9351,307.705327131,318.5403,305,1.219,0.577178030303,2112,313.869574,312.035965829,1.01158371134,p_rgh,0.498284436806,0,0.498284436806,C03,warmerSupplyAir,C03_warmerSupplyAir,0.75,295,18000,1.08,Warmer supply air temperature with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,12.7053,23.5403,24.9351,16.6819,23.5871,27.3711,17.0360,6.334842,0.504056,34.6829,20783.366,15.4631
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,6000,105000,105,0.1,325.1604,311.842452652,319.3741,315,32.234,0.30699047619,322.0093,307.40432893,319.181,305,1.206,0.571022727273,2112,314.525087,314.044749887,1.0223096652,p_rgh,0.512558656944,0,0.512558656944,C03,warmerSupplyAir,C03_warmerSupplyAir,0.75,295,18000,1.08,Warmer supply air temperature with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,12.4043,24.1810,27.0093,16.8425,24.3741,30.1604,19.0447,5.341698,0.523994,35.0506,23480.376,30.4465
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,7000,105000,105,0.1,324.2949,311.494553359,318.6114,315,35.554,0.338609523809,319.9555,307.048424337,317.7845,305,1.229,0.581912878788,2112,316.373452333,315.532342647,1.0008901075,p_rgh,0.586588844444,0,0.586588844444,C03,warmerSupplyAir,C03_warmerSupplyAir,0.75,295,18000,1.08,Warmer supply air temperature with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,12.0484,22.7845,24.9555,16.4946,23.6114,29.2949,20.5323,7.324990,0.587111,34.3162,24784.046,37.6891
/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03,8000,105000,105,0.1,323.3501,311.578176929,317.9484,315,30.524,0.290704761905,317.9343,305.722867566,316.3173,305,1.115,0.527935606061,2112,315.952444,314.89564246,1.007592624,p_rgh,0.621656052778,0,0.621656052778,C03,warmerSupplyAir,C03_warmerSupplyAir,0.75,295,18000,1.08,Warmer supply air temperature with baseline heat load,/home/pankaj/Documents/HVAC/ThermoFOAM-DC-v01-publication/cases/parameterstudy/C03_warmerSupplyAir,10.7229,21.3173,22.9343,16.5782,22.9484,28.3501,19.8956,6.704387,0.626376,34.5460,24176.323,34.3129
