model,grid,cells,hEff,averagingWindow,role,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TavgRoom_mean,TavgRoom_std,TavgRoom_min,TavgRoom_max,T95Room_mean,T95Room_std,T95Room_min,T95Room_max,TmaxRoom_mean,TmaxRoom_std,TmaxRoom_min,TmaxRoom_max,returnOutletTareaAvg_mean,returnOutletTareaAvg_std,returnOutletTareaAvg_min,returnOutletTareaAvg_max,returnOutletTmassFlowAvg_mean,returnOutletTmassFlowAvg_std,returnOutletTmassFlowAvg_min,returnOutletTmassFlowAvg_max,roomHotspotFraction315_mean,roomHotspotFraction315_std,roomHotspotFraction315_min,roomHotspotFraction315_max,rackRiskFraction305_mean,rackRiskFraction305_std,rackRiskFraction305_min,rackRiskFraction305_max,deltaP_mean,deltaP_std,deltaP_min,deltaP_max
RNGkEpsilon,grid_07,38220,0.140055296987,4000-8000,coarse reference,302.95744,0.848158551215513,301.8583,304.0827,313.91066,1.0445387513156223,312.154,314.8965,315.58202,0.767090012319278,314.4114,316.5281,307.12912,0.6784928201536166,306.1456,307.9039,314.16934000000003,0.9702980974937507,313.0722,315.3075,318.33352,0.9311852592261148,317.6761,319.9372,309.35952,2.1718980574603495,305.6251,310.9898,308.76822000000004,2.2089858152555064,304.9104,310.4457,0.031889363999999996,0.02126613138575585,0.01182242,0.06344689,0.4974074,0.04344163977717694,0.4333333,0.5388889,0.597879,0.07611221388065781,0.516483,0.671308
RNGkEpsilon,grid_10,105000,0.1,4000-8000,production mesh candidate,302.6945,1.376887874883058,300.6625,304.4907,313.54242,0.6383216015458159,312.4983,314.1041,316.07716,1.0587986555525977,314.4526,317.3276,307.12309999999997,0.25071450895391734,306.9158,307.5319,313.5129,0.5046161808741405,312.7466,314.0248,318.06374,1.5535298252688885,315.6451,319.3866,310.64351999999997,1.5870489727793549,309.1721,312.7001,310.03022,2.08171561866649,307.6061,312.4612,0.016120003,0.009706002967178096,0.001161905,0.02646667,0.48106062000000005,0.08701889316459961,0.3484848,0.5823864,0.56615826,0.05775319188168737,0.506287,0.6557802
RNGkEpsilon,grid_14,285180,0.0716731917333,4000-8000,fine reference,302.04024,1.0673927688531588,300.3698,303.2989,311.92830000000004,1.2419386438145756,309.8935,312.8987,315.15726,2.237504180554753,312.4696,317.6204,306.7276,0.44354958009222833,305.946,306.9807,312.94449999999995,0.5960656717174602,311.9594,313.5057,317.65886,1.725408453960971,315.5737,319.6296,309.2887,2.298154362744149,306.7368,311.4449,308.43102,2.159129209195239,305.9838,310.7672,0.0091438068,0.005645913058177322,0.002135198,0.01650082,0.4489736,0.06796607143248021,0.340176,0.5166178,0.58262634,0.047526791194683025,0.5268079,0.642634
